XLogP,LipinskiFailures,nRotB,MLogP,nAtomLAC,nAtomP,nAtomLC,nBase,naAromAtom,ALogP,ALogp2,nSmallRings,nRingBlocks,nAromBlocks,nRings6,WPATH,WTPT.2,WTPT.4,WTPT.5,MDEC.11,MDEC.12,MDEC.13,MDEC.22,MDEC.23,MDEC.33,MDEO.11,MDEO.22,MDEN.11,MDEN.12,MDEN.13,MDEN.22,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.ssNH,khs.aaNH,khs.aaN,khs.sssN,khs.aasN,khs.sOH,khs.ssO,khs.aaO,khs.ssS,khs.aaS,khs.sCl,HybRatio,FMF,ECCEN,SP.7,VP.7,SPC.6,VPC.6,SC.3,SC.5,VC.3,VC.5,SCH.5,SCH.6,SCH.7,VCH.5,VCH.6,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,ATSp5,ATSm1,tpsaEfficiency.1,nHBDon,bpol,topoShape.1,pIC50,CANONICAL_SMILES
0.70687214114572,0.0,0.0303030303030303,0.241379310344828,0.0,0.444444444444444,0.1,0.0,0.533333333333333,0.762918090122264,0.0192298864224791,0.25,0.125,0.5,0.25,1.24063822636529e-10,0.702581350701851,0.0,0.173147074773496,0.0,0.0,0.0,0.326612175714535,0.30645333235267,0.335694592860552,0.0,0.0,0.432707841820925,0.583175839338425,0.0,0.144288403518823,0.0,0.0,0.444444444444444,0.0,0.0,0.0,0.333333333333333,0.25,0.0,0.181818181818182,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.921944692239072,0.402449377566405,0.175453354961916,0.195012157645857,0.054037270201427,0.110690335110895,0.0163379691657553,0.00885774909591606,0.0631942043039216,0.0586165355255411,0.0,0.246357075906804,0.166971810262698,0.0,0.132002879237372,0.0833333333333333,0.44,0.1,0.0,0.0,0.0,0.119854817307736,0.0426703626049338,0.695198293230683,0.0833333333333333,0.00560174079263891,0.000250438016340768,6.21,Nc1nc(N)c2c(Sc3ccccc3)cccc2n1
0.636353735569593,0.0,0.0909090909090909,0.241379310344828,0.0,0.407407407407407,0.133333333333333,0.0,0.5,0.767806414957905,0.0213066053349743,0.25,0.125,0.5,0.125,2.82969716197228e-10,0.540559752287766,0.0932480330375586,0.172363768499626,0.0812233597290848,0.286348223504135,0.336078426836735,0.0950049227979831,0.25443344561353,0.608757776180351,0.0,0.0985570052699022,0.432707841820925,0.583175839338425,0.0,0.144288403518823,0.0769230769230769,0.0,0.166666666666667,0.0,0.0,0.0,0.583333333333333,0.25,0.0,0.181818181818182,0.0,0.0,0.4,0.0,0.0,0.0,0.166666666666667,0.0,0,1,0.0,0.25,0.634073323507738,0.402449407492369,0.25728223631219,0.292996640660044,0.119128792646446,0.22528511078856,0.0769627794099708,0.0744410915066957,0.116753220335907,0.204896381020595,0.346017365325125,0.476532819549314,0.379916829009792,0.45203527890262,0.684861998467622,0.166666666666667,0.24,0.3,0.0666666666666667,0.0263157894736842,0.0,0.187027247304569,0.0786609172473467,0.67688247950526,0.0833333333333333,0.0815140720183844,8.3479338780256e-05,6.14,COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1
0.473644086255718,0.333333333333333,0.272727272727273,0.206896551724138,0.555555555555556,0.407407407407407,0.366666666666667,0.0,0.5,0.649914777129281,0.000899136017330792,0.25,0.125,0.5,0.125,1.02214262271933e-09,0.402743405948968,0.254210276476377,0.361330754821929,0.0,0.184218913866207,0.11731444835226,0.245792957702163,0.454945932887715,0.539704661670398,0.210985513932255,0.0,0.432707841820925,0.510619356658493,0.404159849656725,0.1389240886826,0.230769230769231,0.0,0.277777777777778,0.0285714285714286,0.0,0.272727272727273,0.416666666666667,0.25,0.0,0.181818181818182,0.2,0.0,0.4,0.5,0.0,0.222222222222222,0.0,0.5,0,0,0.0,0.25,0.396351959745763,0.402449549291096,0.308033890987689,0.166181388017423,0.142502204006466,0.103499073034621,0.190315444269009,0.149109139180951,0.12218441477841,0.127726942044829,0.423782993594376,0.427877538267963,0.285760777968912,0.173988459971757,0.19787712206525,0.5,0.2,0.3,0.0666666666666667,0.0789473684210526,0.0,0.209533461712957,0.122052971746481,0.849618840978171,0.208333333333333,0.123087930088935,0.000250438016340768,6.66,CN(Cc1coc2nc(N)nc(N)c12)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
0.40731866695709,0.333333333333333,0.272727272727273,0.137931034482759,0.555555555555556,0.444444444444444,0.4,0.0,0.533333333333333,0.657219594619522,0.000364115458474762,0.25,0.125,0.5,0.25,1.08075545231139e-09,0.445317256760957,0.202456563702034,0.450035820606016,0.0,0.0,0.0,0.245792957702163,0.431112949963711,0.499473525349754,0.210985513932255,0.0,0.432707841820925,0.849102219638932,0.0,0.610172385604013,0.230769230769231,0.0,0.277777777777778,0.0285714285714286,0.0,0.272727272727273,0.416666666666667,0.25,0.0,0.181818181818182,0.2,0.0,0.8,0.0,0.0,0.222222222222222,0.0,0.0,1,0,0.0,0.210526315789474,0.441538665254237,0.402449565232965,0.296985432798093,0.256077544737107,0.116607738385693,0.0902445315181523,0.174655387861528,0.099172708999968,0.113692711555855,0.0424299366433003,0.0,0.213938769133981,0.193469676484582,0.0,0.0870264133261098,0.5,0.28,0.1,0.0666666666666667,0.0789473684210526,0.0,0.205422351656096,0.159109350551272,1.0,0.208333333333333,0.106609683458576,0.000150262809804461,5.57,Nc1nc(N)c2nc(CSc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1
0.426813330429101,0.333333333333333,0.303030303030303,0.172413793103448,0.555555555555556,0.444444444444444,0.433333333333333,0.0,0.533333333333333,0.666376441594664,2.92333921591727e-05,0.25,0.125,0.5,0.25,1.22403125798087e-09,0.44325101570115,0.202451183512219,0.449852618624809,0.0,0.0,0.0,0.304937775573484,0.455945345543961,0.471927238588917,0.210985513932255,0.0,0.432707841820925,0.836541408416271,0.0,0.588552366361323,0.307692307692308,0.0,0.277777777777778,0.0285714285714286,0.0,0.272727272727273,0.416666666666667,0.25,0.0,0.181818181818182,0.2,0.0,0.8,0.0,0.0,0.222222222222222,0.0,0.0,1,0,0.0,0.25,0.460708782742681,0.402449589565291,0.305750552054084,0.287461907226067,0.114975780120646,0.0875074570468046,0.174655387861528,0.099172708999968,0.113692711555855,0.0424299366433002,0.0,0.213938769133981,0.193469676484582,0.0,0.0870264133261098,0.5,0.28,0.1,0.0666666666666667,0.105263157894737,0.0,0.206660867015782,0.165595376198229,0.962844206959696,0.208333333333333,0.122582344259336,0.000250438016340768,4.6,Nc1nc(N)c2nc(CCSc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1
0.442986277499456,0.666666666666667,0.272727272727273,0.172413793103448,0.555555555555556,0.407407407407407,0.366666666666667,0.0,0.5,0.641300257513263,0.00183557253444275,0.25,0.125,0.5,0.125,9.5897101749233e-10,0.435041733054128,0.254284637836398,0.355829682939142,0.0,0.0,0.0,0.245792957702163,0.454945932887715,0.539704661670398,0.210985513932255,0.0,0.432707841820925,0.620222840752358,0.0,0.30090419105428,0.230769230769231,0.0,0.277777777777778,0.0285714285714286,0.0,0.272727272727273,0.416666666666667,0.25,0.0,0.181818181818182,0.4,0.0,0.4,0.0,0.0,0.222222222222222,0.0,0.5,0,0,0.0,0.210526315789474,0.421131765992346,0.402449542858412,0.283189718390532,0.141720369046663,0.117466150987213,0.0687737927438531,0.16745707378189,0.108030458095884,0.0916624508587304,0.0716408283216511,0.423782993594376,0.427877538267963,0.298129884377522,0.173988459971757,0.19787712206525,0.5,0.2,0.3,0.0666666666666667,0.0789473684210526,0.0,0.168928977461968,0.115566946099525,0.935975689107799,0.25,0.0974721219899042,0.000250438016340768,6.35,Nc1nc(N)c2c(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)coc2n1
0.435689392289262,0.666666666666667,0.303030303030303,0.206896551724138,0.555555555555556,0.407407407407407,0.4,0.0666666666666667,0.5,0.626602079290474,0.00419663418234601,0.25,0.125,0.5,0.125,1.0924780182298e-09,0.433218598510842,0.254248094460094,0.354687252395147,0.0,0.0,0.0,0.31030916064945,0.48171771301249,0.507447656294984,0.210985513932255,0.0,0.432707841820925,0.607856549246198,0.0,0.284888062407285,0.307692307692308,0.0,0.277777777777778,0.0285714285714286,0.0,0.272727272727273,0.416666666666667,0.25,0.0,0.181818181818182,0.4,0.0,0.4,0.0,0.0,0.222222222222222,0.0,0.5,0,0,0.0,0.25,0.441538665254237,0.402449566631374,0.28288576151823,0.157952535733637,0.116640351525826,0.0729027645894827,0.16745707378189,0.108030458095884,0.09871829148995,0.0716408283216511,0.423782993594376,0.427877538267963,0.298129884377522,0.173988459971757,0.19787712206525,0.5,0.16,0.4,0.133333333333333,0.0789473684210526,0.0,0.171976695926339,0.122052971746481,0.898414725257952,0.25,0.113444782790664,0.000150262809804461,4.76,Nc1nc(N)c2c(CNCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)coc2n1
0.376715312568068,0.333333333333333,0.272727272727273,0.137931034482759,0.555555555555556,0.444444444444444,0.4,0.0,0.533333333333333,0.636625912179861,0.00248206732231134,0.25,0.125,0.5,0.25,1.08075545231139e-09,0.445317256760957,0.254335608261255,0.450035820606016,0.0,0.0,0.0,0.245792957702163,0.431112949963711,0.499473525349754,0.210985513932255,0.0,0.432707841820925,0.849102219638932,0.0,0.610172385604013,0.230769230769231,0.0,0.277777777777778,0.0285714285714286,0.0,0.272727272727273,0.416666666666667,0.25,0.0,0.181818181818182,0.2,0.0,0.8,0.0,0.0,0.222222222222222,0.0833333333333333,0.0,0,0,0.0,0.210526315789474,0.441538665254237,0.402449565232965,0.296985432798093,0.123706763053974,0.116607738385693,0.0537982448371451,0.174655387861528,0.099172708999968,0.085875806102757,0.0424299366433003,0.0,0.213938769133981,0.193469676484582,0.0,0.0870264133261098,0.5,0.28,0.1,0.0666666666666667,0.0789473684210526,0.0,0.159230334419367,0.12438781321296,0.955819868890657,0.208333333333333,0.103950512536931,0.000150262809804461,6.13,Nc1nc(N)c2nc(COc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1
0.773306469178828,0.0,0.0303030303030303,0.413793103448276,0.333333333333333,0.851851851851852,0.166666666666667,0.0,0.633333333333333,0.765725648763715,0.0204096148865976,0.375,0.125,0.5,0.25,3.32790621350479e-10,0.766422351317514,0.0517826573750619,0.17255229078557,0.0,0.217194812409008,0.153779897051872,0.39845169864176,0.485534538729104,0.592655120597965,0.0,0.0,0.432707841820925,0.583175839338425,0.0,0.144288403518823,0.0,0.2,0.444444444444444,0.0,0.0,0.0909090909090909,0.333333333333333,0.5,0.0,0.181818181818182,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0526315789473684,0.893405720338983,0.402449428748194,0.291135545145177,0.166493152365746,0.137588321064254,0.125040742853154,0.0705780506467338,0.0854798153049457,0.0745461626070137,0.120836727842642,0.423782993594376,0.545653025092561,0.37790430928724,0.173988459971757,0.2632534163735,0.25,0.32,0.6,0.0666666666666667,0.0,0.0,0.184741829584808,0.040378953501406,0.45726235712501,0.0833333333333333,0.0348878914725136,0.000250438016340768,5.0,C\C(=C\c1coc2nc(N)nc(N)c12)\c3cccc4ccccc34
0.896917882814202,0.333333333333333,0.272727272727273,0.862068965517241,0.333333333333333,0.814814814814815,0.466666666666667,0.0,0.933333333333333,0.946375998878452,0.17014569877172,0.5,0.375,1.0,0.5,1.78410940741612e-09,0.745729144103782,0.0860702917734815,0.132901657812137,0.0,0.0,0.0,0.0,0.835517239000726,0.400982985074813,0.0144355955672803,0.0,0.0,0.0,0.0,0.0577153614075292,0.153846153846154,0.8,1.0,0.0,0.0,0.0909090909090909,0.416666666666667,0.25,0.0,0.0,0.2,0.0,0.2,0.0,0.5,0.0,0.0,0.0,1,0,0.0,0.0606060606060606,1.0,0.402449660884177,0.473746338889842,0.414171081917169,0.144891852297948,0.163500341277432,0.100529861744813,0.04494775970753,0.10534762955372,0.0743445129876014,0.0,0.582037245287615,0.252318589330507,0.0,0.339279831867667,0.166666666666667,0.96,0.4,0.133333333333333,0.0,0.0,0.390683698059103,0.180102486132179,0.15488326450762,0.0416666666666667,0.158680165806612,0.000159369646762307,6.3,O=C(Nc1ccc2N=C(SC\C=C\c3ccccc3)N(Cc4ccccc4)C(=O)c2c1)\C=C\c5ccccc5
